price,size,bed,bath,new,
48.5,1.1,3,1,0,
55,1.01,3,2,0, 
68,1.45,3,2,0, 
137,2.4,3,3,0,
309.4,3.3,4,3,1,
17.5,0.4,1,1,0,
19.6,1.28,3,1,0,
24.5,0.74,3,1,0,
34.8,0.78,2,1,0,
32,0.97,3,1,0,
28,0.84,3,1,0,
49.9,1.08,2,2,0,
59.9,0.99,2,1,0,
61.5,1.01,3,2,0,
60,1.34,3,2,0,
65.9,1.22,3,1,0,
67.9,1.28,3,2,0,
68.9,1.29,3,2,0,
69.9,1.52,3,2,0,
70.5,1.25,3,2,0,
72.9,1.28,3,2,0,
72.5,1.28,3,1,0,
72,1.36,3,2,0,
71,1.2,3,2,0,
76,1.46,3,2,0,
72.9,1.56,4,2,0,
73,1.22,3,2,0,
70,1.4,2,2,0,
76,1.15,2,2,0,
69,1.74,3,2,0,
75.5,1.62,3,2,0,
76,1.66,3,2,0,
81.8,1.33,3,2,0,
84.5,1.34,3,2,0,
83.5,1.4,3,2,0,
86,1.15,2,2,1,
86.9,1.58,3,2,1,
86.9,1.58,3,2,1,
86.9,1.58,3,2,1,
87.9,1.71,3,2,0,
88.1,2.1,3,2,0,
85.9,1.27,3,2,0,
89.5,1.34,3,2,0,
87.4,1.25,3,2,0,
87.9,1.68,3,2,0,
88,1.55,3,2,0,
90,1.55,3,2,0,
96,1.36,3,2,1,
99.9,1.51,3,2,1,
95.5,1.54,3,2,1,
98.5,1.51,3,2,0,
100.1,1.85,3,2,0,
99.9,1.62,4,2,1,
101.9,1.4,3,2,1,
101.9,1.92,4,2,0,
102.3,1.42,3,2,1,
110.8,1.56,3,2,1,
105,1.43,3,2,1,
97.9,2,3,2,0,
106.3,1.45,3,2,1,
106.5,1.65,3,2,0,
116,1.72,4,2,1,
108,1.79,4,2,1,
107.5,1.85,3,2,0,
109.9,2.06,4,2,1,
110,1.76,4,2,0,
120,1.62,3,2,1,
115,1.8,4,2,1,
113.4,1.98,3,2,0,
114.9,1.57,3,2,0,
115,2.19,3,2,0,
115,2.07,4,2,0,
117.9,1.99,4,2,0,
110,1.55,3,2,0,
115,1.67,3,2,0,
124,2.4,4,2,0,
129.9,1.79,4,2,1,
124,1.89,3,2,0,
128,1.88,3,2,1,
132.4,2,4,2,1,
139.3,2.05,4,2,1,
139.3,2,4,2,1,
139.7,2.03,3,2,1,
142,2.12,3,3,0,
141.3,2.08,4,2,1,
147.5,2.19,4,2,0,
142.5,2.4,4,2,0,
148,2.4,5,2,0,
149,3.05,4,2,0,
150,2.04,3,3,0,
172.9,2.25,4,2,1,
190,2.57,4,3,1,
280,3.85,4,3,0,
